reporting_lag,amount,mule_hops,dist_km,past_cases,crime_type,target_cashout
6,85000.0,1,1.4,12,UPI Fraud,1
115,250000.0,2,3.81,8,Job Scam,0
7,25000.0,3,0.45,10,UPI Fraud,1
16,10000.0,1,0.77,6,Card Fraud,0
18,15000.0,3,0.8,7,UPI Fraud,1
125,25000.0,2,5.28,16,UPI Fraud,0
15,48000.0,2,1.07,7,UPI Fraud,1
21,20000.0,2,2.88,8,Phishing,0
27,15000.0,3,3.68,5,UPI Fraud,0
65,2000000.0,5,8.32,10,Investment Scam,0
11,120000.0,2,4.1,11,UPI Fraud,1
118,1200000.0,4,2.3,8,Investment Scam,0
191,1200000.0,4,0.77,8,Investment Scam,0
5,85000.0,2,1.25,6,UPI Fraud,1
6,15000.0,2,0.41,10,UPI Fraud,1
23,85000.0,2,0.31,8,UPI Fraud,1
36,48000.0,2,2.16,5,UPI Fraud,0
6,15000.0,3,0.22,7,UPI Fraud,1
37,1200000.0,2,1.11,8,Investment Scam,0
18,150000.0,2,0.68,7,Phishing,1
19,45000.0,2,1.2,5,Phishing,0
39,85000.0,1,1.17,8,UPI Fraud,0
40,50000.0,3,0.94,9,Job Scam,0
24,75000.0,2,1.56,9,Phishing,0
182,150000.0,2,0.61,10,Investment Scam,0
12,120000.0,3,1.05,5,UPI Fraud,1
89,1200000.0,3,5.31,11,Investment Scam,0
60,45000.0,2,0.16,8,Phishing,1
23,150000.0,3,0.89,11,Investment Scam,1
20,150000.0,1,1.14,11,Phishing,1
23,10000.0,1,0.52,14,Card Fraud,0
21,100000.0,1,1.33,6,Card Fraud,0
29,15000.0,2,1.06,9,UPI Fraud,0
35,75000.0,2,0.53,11,Phishing,1
56,2000000.0,3,1.18,13,Investment Scam,0
44,8000.0,2,3.56,14,UPI Fraud,0
27,15000.0,2,1.88,8,UPI Fraud,0
23,850000.0,3,0.19,10,Job Scam,1
8,15000.0,3,2.08,8,UPI Fraud,1
21,50000.0,1,0.76,17,Card Fraud,1
46,120000.0,4,1.01,10,Job Scam,1
63,85000.0,2,0.48,8,UPI Fraud,0
10,120000.0,3,0.19,6,UPI Fraud,1
12,20000.0,1,1.6,2,Card Fraud,0
87,500000.0,2,3.41,13,Job Scam,0
55,150000.0,1,1.12,6,Phishing,0
80,300000.0,3,1.06,13,Investment Scam,0
19,85000.0,2,0.17,9,UPI Fraud,1
145,2000000.0,4,0.63,9,Investment Scam,0
11,15000.0,2,0.59,7,UPI Fraud,1
15,120000.0,3,2.18,13,UPI Fraud,1
4,10000.0,1,0.97,9,Card Fraud,1
47,1200000.0,4,0.97,11,Investment Scam,1
30,50000.0,3,1.66,10,Job Scam,0
74,50000.0,3,0.76,10,Job Scam,0
21,85000.0,1,0.55,9,UPI Fraud,1
30,120000.0,3,0.22,5,UPI Fraud,1
120,2000000.0,3,1.11,6,Investment Scam,0
15,40000.0,1,0.57,8,Card Fraud,1
50,45000.0,1,2.87,5,Phishing,0
22,20000.0,3,1.95,11,Phishing,0
31,120000.0,2,1.65,5,UPI Fraud,0
38,120000.0,1,0.4,9,UPI Fraud,1
205,600000.0,4,0.55,9,Investment Scam,0
29,25000.0,2,1.29,5,UPI Fraud,0
19,85000.0,1,2.29,9,UPI Fraud,0
20,120000.0,2,1.21,6,Job Scam,1
17,45000.0,1,0.62,9,Phishing,1
32,250000.0,2,0.18,6,Job Scam,1
30,1200000.0,2,0.34,9,Investment Scam,1
24,100000.0,2,2.34,8,Card Fraud,0
30,150000.0,2,0.72,7,Investment Scam,0
67,120000.0,1,1.01,9,UPI Fraud,0
8,48000.0,1,1.93,9,UPI Fraud,1
16,50000.0,4,1.62,11,Job Scam,1
153,850000.0,3,0.57,11,Job Scam,0
35,100000.0,1,0.42,8,Card Fraud,1
69,300000.0,4,0.68,7,Investment Scam,1
39,45000.0,1,1.19,6,Phishing,0
68,300000.0,3,0.79,3,Investment Scam,0
19,45000.0,2,1.11,10,Phishing,0
10,100000.0,1,0.44,6,Card Fraud,1
55,20000.0,2,1.65,7,Phishing,0
58,2000000.0,4,1.26,4,Investment Scam,0
46,8000.0,3,1.44,12,UPI Fraud,0
92,75000.0,1,4.39,12,Phishing,0
98,100000.0,1,0.29,4,Card Fraud,0
39,150000.0,2,0.17,7,Phishing,1
50,10000.0,1,0.32,15,Card Fraud,0
26,15000.0,3,0.92,9,UPI Fraud,0
14,850000.0,4,0.49,14,Job Scam,1
67,45000.0,3,0.94,10,Phishing,0
36,15000.0,2,0.52,6,UPI Fraud,0
18,100000.0,1,1.65,11,Card Fraud,1
47,85000.0,1,0.71,5,UPI Fraud,0
4,8000.0,1,1.83,8,UPI Fraud,1
21,40000.0,1,0.86,6,Card Fraud,0
6,120000.0,2,0.25,6,UPI Fraud,1
5,20000.0,1,0.85,10,Card Fraud,1
27,45000.0,1,0.69,13,Phishing,0
23,48000.0,2,3.82,11,UPI Fraud,0
54,2000000.0,3,0.71,10,Investment Scam,0
30,250000.0,3,0.8,8,Job Scam,1
39,1200000.0,4,1.49,9,Investment Scam,0
18,250000.0,2,1.32,8,Job Scam,1
5,20000.0,1,1.94,6,Card Fraud,1
42,20000.0,2,2.91,8,Phishing,0
56,8000.0,2,1.67,5,UPI Fraud,0
19,150000.0,1,2.4,12,Phishing,0
9,10000.0,1,1.12,8,Card Fraud,1
63,250000.0,2,2.22,9,Job Scam,0
27,15000.0,2,3.11,12,UPI Fraud,0
14,25000.0,3,2.3,11,UPI Fraud,1
7,40000.0,1,1.88,12,Card Fraud,1
18,150000.0,2,0.26,16,Phishing,1
76,45000.0,3,1.99,8,Phishing,0
25,40000.0,1,0.79,9,Card Fraud,0
11,48000.0,2,1.7,12,UPI Fraud,1
9,8000.0,2,1.52,9,UPI Fraud,1
16,250000.0,2,1.2,13,Job Scam,1
72,75000.0,2,0.94,12,Phishing,0
28,500000.0,2,3.08,9,Job Scam,0
30,50000.0,1,0.79,9,Card Fraud,0
10,20000.0,1,0.33,12,Card Fraud,1
48,1200000.0,4,1.25,8,Investment Scam,0
48,500000.0,4,0.97,13,Job Scam,1
47,120000.0,3,3.72,13,Job Scam,0
48,48000.0,3,0.24,8,UPI Fraud,1
33,2000000.0,3,2.34,7,Investment Scam,0
19,25000.0,1,2.23,8,UPI Fraud,0
24,25000.0,3,2.95,7,UPI Fraud,0
121,250000.0,3,0.81,10,Job Scam,0
10,40000.0,2,0.5,7,Card Fraud,1
39,85000.0,2,0.58,8,UPI Fraud,0
96,2000000.0,4,0.53,13,Investment Scam,1
29,40000.0,1,1.65,8,Card Fraud,0
52,500000.0,2,1.29,14,Job Scam,0
42,300000.0,2,3.96,8,Investment Scam,0
41,1200000.0,5,2.92,11,Investment Scam,1
29,1200000.0,4,0.78,8,Investment Scam,1
80,75000.0,3,0.8,10,Phishing,0
133,250000.0,3,0.56,14,Job Scam,0
103,600000.0,3,2.85,15,Investment Scam,0
17,20000.0,2,1.72,8,Card Fraud,0
24,600000.0,4,0.84,8,Investment Scam,1
9,85000.0,2,0.48,11,UPI Fraud,1
92,120000.0,2,1.33,9,UPI Fraud,0
4,15000.0,2,0.47,12,UPI Fraud,1
36,25000.0,1,0.96,6,UPI Fraud,0
31,2000000.0,2,0.82,9,Investment Scam,0
24,100000.0,1,0.51,7,Card Fraud,1
26,850000.0,3,2.05,8,Job Scam,0
45,150000.0,3,2.2,6,Investment Scam,0
43,25000.0,3,5.3,10,UPI Fraud,0
66,500000.0,3,0.32,7,Job Scam,1
22,250000.0,4,1.11,6,Job Scam,1
64,2000000.0,2,2.47,11,Investment Scam,0
75,300000.0,3,0.3,15,Investment Scam,1
15,120000.0,2,0.74,8,Job Scam,1
46,1200000.0,2,0.23,10,Investment Scam,1
35,600000.0,3,2.12,5,Investment Scam,0
26,45000.0,2,0.62,9,Phishing,0
54,300000.0,5,0.41,4,Investment Scam,1
13,25000.0,3,0.67,9,UPI Fraud,1
35,20000.0,1,1.04,8,Card Fraud,0
24,500000.0,3,0.86,10,Job Scam,1
48,85000.0,3,0.24,14,UPI Fraud,1
87,300000.0,3,1.01,14,Investment Scam,0
17,120000.0,2,0.96,3,UPI Fraud,1
10,120000.0,2,3.24,10,UPI Fraud,1
7,8000.0,3,0.32,7,UPI Fraud,1
22,300000.0,3,0.25,8,Investment Scam,1
27,100000.0,2,6.82,11,Card Fraud,0
17,25000.0,3,1.22,3,UPI Fraud,0
13,120000.0,2,0.78,10,UPI Fraud,1
146,500000.0,4,0.7,14,Job Scam,1
21,75000.0,2,3.57,8,Phishing,0
21,45000.0,1,1.32,7,Phishing,0
10,10000.0,1,0.95,13,Card Fraud,1
41,150000.0,1,1.07,11,Phishing,0
20,100000.0,1,1.84,8,Card Fraud,0
43,25000.0,1,0.21,9,UPI Fraud,1
26,15000.0,2,1.44,7,UPI Fraud,0
18,40000.0,1,0.46,8,Card Fraud,1
50,50000.0,3,2.86,11,Job Scam,0
22,25000.0,2,0.55,8,UPI Fraud,1
30,500000.0,3,1.21,4,Job Scam,0
5,10000.0,1,0.66,8,Card Fraud,1
100,2000000.0,3,3.78,11,Investment Scam,0
5,40000.0,1,1.55,13,Card Fraud,1
36,100000.0,2,0.75,4,Card Fraud,0
60,120000.0,1,0.69,5,UPI Fraud,0
7,15000.0,2,0.23,9,UPI Fraud,1
32,8000.0,2,0.2,8,UPI Fraud,1
89,1200000.0,3,2.73,11,Investment Scam,0
87,2000000.0,3,3.27,11,Investment Scam,0
6,50000.0,2,0.32,11,Card Fraud,1
52,600000.0,3,2.25,9,Investment Scam,0
19,150000.0,1,1.49,5,Phishing,0
147,48000.0,2,0.39,11,UPI Fraud,0
59,2000000.0,4,4.29,10,Investment Scam,0
46,300000.0,4,0.36,9,Investment Scam,1
135,1200000.0,4,1.0,9,Investment Scam,0
45,600000.0,4,2.99,13,Investment Scam,0
120,150000.0,3,2.52,9,Investment Scam,0
4,100000.0,2,1.03,8,Card Fraud,1
3,100000.0,1,1.46,11,Card Fraud,1
27,8000.0,3,2.12,7,UPI Fraud,0
81,25000.0,1,3.32,10,UPI Fraud,0
13,20000.0,1,0.25,7,Card Fraud,1
62,600000.0,4,0.18,10,Investment Scam,1
17,8000.0,2,2.5,10,UPI Fraud,0
55,15000.0,2,0.38,7,UPI Fraud,0
27,1200000.0,4,0.63,11,Investment Scam,1
5,20000.0,1,1.23,3,Card Fraud,1
17,40000.0,1,0.77,7,Card Fraud,0
23,20000.0,2,1.14,14,Phishing,0
13,850000.0,2,0.2,12,Job Scam,1
22,25000.0,2,0.86,10,UPI Fraud,0
7,120000.0,2,0.57,10,UPI Fraud,1
21,250000.0,3,1.86,10,Job Scam,1
92,600000.0,3,1.84,11,Investment Scam,0
28,300000.0,4,0.89,13,Investment Scam,1
81,8000.0,3,0.56,10,UPI Fraud,0
187,600000.0,2,0.18,14,Investment Scam,1
31,8000.0,1,0.57,7,UPI Fraud,0
53,48000.0,3,1.56,9,UPI Fraud,0
96,2000000.0,5,3.11,11,Investment Scam,0
17,15000.0,2,1.15,6,UPI Fraud,0
4,40000.0,1,2.51,9,Card Fraud,1
132,2000000.0,2,1.61,7,Investment Scam,0
20,100000.0,2,0.27,9,Card Fraud,1
20,120000.0,2,1.22,7,UPI Fraud,1
12,120000.0,4,0.61,14,Job Scam,1
10,75000.0,3,3.12,9,Phishing,1
73,8000.0,3,0.44,7,UPI Fraud,0
21,600000.0,3,5.06,10,Investment Scam,1
99,20000.0,1,0.31,7,Phishing,0
8,10000.0,1,2.65,6,Card Fraud,1
5,85000.0,1,0.24,11,UPI Fraud,1
6,15000.0,3,2.06,8,UPI Fraud,1
345,2000000.0,3,1.83,11,Investment Scam,0
79,150000.0,3,0.29,9,Investment Scam,1
21,20000.0,2,1.96,12,Card Fraud,0
24,850000.0,3,0.72,3,Job Scam,1
13,8000.0,2,1.52,7,UPI Fraud,1
31,85000.0,2,2.21,6,UPI Fraud,0
96,850000.0,2,1.52,5,Job Scam,0
51,250000.0,2,1.3,9,Job Scam,0
8,120000.0,2,0.72,8,UPI Fraud,1
24,120000.0,3,0.64,6,UPI Fraud,1
6,8000.0,1,1.95,5,UPI Fraud,1
102,75000.0,2,4.95,7,Phishing,0
60,15000.0,3,4.04,9,UPI Fraud,0
22,120000.0,3,0.65,13,Job Scam,1
17,48000.0,2,0.99,10,UPI Fraud,1
81,8000.0,3,2.75,3,UPI Fraud,0
44,45000.0,1,1.29,10,Phishing,0
27,25000.0,1,1.41,2,UPI Fraud,0
119,250000.0,2,0.63,9,Job Scam,0
12,150000.0,2,0.8,13,Phishing,1
21,8000.0,1,2.23,10,UPI Fraud,0
20,8000.0,2,0.79,7,UPI Fraud,0
22,500000.0,2,0.28,11,Job Scam,1
26,15000.0,1,0.81,6,UPI Fraud,0
19,85000.0,1,0.3,7,UPI Fraud,1
41,1200000.0,3,0.26,14,Investment Scam,1
87,1200000.0,3,0.83,5,Investment Scam,0
3,20000.0,1,0.46,9,Card Fraud,1
118,1200000.0,2,1.43,14,Investment Scam,0
9,75000.0,2,2.87,12,Phishing,1
37,50000.0,1,0.25,10,Card Fraud,1
27,15000.0,2,1.53,12,UPI Fraud,0
87,250000.0,3,0.36,5,Job Scam,1
44,120000.0,1,0.52,9,UPI Fraud,0
25,75000.0,2,1.41,10,Phishing,0
33,48000.0,3,1.41,8,UPI Fraud,0
13,8000.0,2,0.25,6,UPI Fraud,1
40,2000000.0,4,0.77,10,Investment Scam,1
17,15000.0,1,1.75,7,UPI Fraud,0
43,8000.0,1,0.94,10,UPI Fraud,0
16,85000.0,2,0.71,11,UPI Fraud,1
11,25000.0,2,0.51,9,UPI Fraud,1
31,45000.0,3,1.96,6,Phishing,0
19,85000.0,3,2.27,8,UPI Fraud,1
84,75000.0,1,0.19,7,Phishing,1
40,8000.0,1,0.22,12,UPI Fraud,1
27,120000.0,4,1.21,8,Job Scam,1
25,48000.0,1,0.74,12,UPI Fraud,0
10,8000.0,1,1.58,9,UPI Fraud,1
4,48000.0,1,5.0,9,UPI Fraud,1
75,300000.0,3,0.38,11,Investment Scam,1
8,10000.0,1,0.93,9,Card Fraud,1
65,20000.0,3,1.03,10,Phishing,0
37,50000.0,4,1.33,8,Job Scam,1
29,150000.0,4,1.02,7,Investment Scam,1
26,120000.0,4,2.54,13,Job Scam,1
39,100000.0,1,3.52,13,Card Fraud,0
11,48000.0,2,2.06,8,UPI Fraud,1
12,8000.0,2,1.62,5,UPI Fraud,1
33,300000.0,3,0.82,10,Investment Scam,1
32,15000.0,1,0.23,9,UPI Fraud,1
59,8000.0,3,1.57,6,UPI Fraud,0
29,25000.0,3,0.36,16,UPI Fraud,1
8,15000.0,1,1.52,10,UPI Fraud,1
32,850000.0,4,0.38,8,Job Scam,1
49,600000.0,4,0.54,13,Investment Scam,1
56,120000.0,2,1.57,8,Job Scam,0
74,1200000.0,3,4.61,8,Investment Scam,0
107,150000.0,4,1.36,9,Investment Scam,0
21,25000.0,3,0.34,11,UPI Fraud,1
31,48000.0,3,0.16,6,UPI Fraud,1
193,150000.0,3,1.49,8,Investment Scam,0
44,45000.0,2,1.09,4,Phishing,0
43,45000.0,2,2.3,13,Phishing,0
12,40000.0,1,0.7,9,Card Fraud,1
19,25000.0,2,2.35,6,UPI Fraud,0
9,40000.0,2,1.87,4,Card Fraud,1
11,25000.0,2,0.6,11,UPI Fraud,1
13,15000.0,2,1.5,8,UPI Fraud,1
6,120000.0,3,0.32,5,UPI Fraud,1
14,45000.0,3,2.53,11,Phishing,1
16,45000.0,2,1.68,8,Phishing,0
33,120000.0,2,1.02,13,Job Scam,0
8,8000.0,3,1.15,8,UPI Fraud,1
21,250000.0,3,2.54,9,Job Scam,1
25,75000.0,1,0.41,10,Phishing,1
18,85000.0,2,0.71,8,UPI Fraud,1
26,75000.0,2,0.39,13,Phishing,1
17,50000.0,1,0.38,3,Card Fraud,1
60,500000.0,3,0.89,13,Job Scam,0
9,100000.0,1,2.32,11,Card Fraud,1
30,120000.0,2,1.91,6,Job Scam,0
56,300000.0,2,1.99,6,Investment Scam,0
26,250000.0,2,0.23,6,Job Scam,1
14,50000.0,1,0.74,10,Card Fraud,1
11,25000.0,1,0.84,9,UPI Fraud,1
27,25000.0,1,0.3,13,UPI Fraud,1
15,25000.0,3,3.58,8,UPI Fraud,0
198,850000.0,4,0.74,4,Job Scam,0
60,120000.0,3,1.2,9,Job Scam,0
25,300000.0,2,0.68,9,Investment Scam,1
45,500000.0,3,0.6,8,Job Scam,1
20,250000.0,2,3.02,7,Job Scam,0
26,8000.0,1,0.92,5,UPI Fraud,0
17,100000.0,2,5.7,13,Card Fraud,1
49,120000.0,2,0.18,11,UPI Fraud,1
13,48000.0,2,1.03,3,UPI Fraud,1
34,150000.0,2,1.69,5,Phishing,0
20,48000.0,2,0.55,5,UPI Fraud,1
48,120000.0,3,0.22,8,Job Scam,1
14,10000.0,1,0.69,13,Card Fraud,1
186,250000.0,2,2.0,6,Job Scam,0
27,100000.0,1,3.68,13,Card Fraud,0
39,2000000.0,3,1.52,11,Investment Scam,0
15,250000.0,2,0.9,6,Job Scam,1
50,75000.0,1,1.06,7,Phishing,0
22,120000.0,2,0.52,12,Job Scam,1
86,250000.0,4,0.16,9,Job Scam,1
37,20000.0,1,0.95,8,Card Fraud,0
4,48000.0,2,0.33,12,UPI Fraud,1
30,85000.0,1,2.22,9,UPI Fraud,0
103,2000000.0,3,2.74,11,Investment Scam,0
10,40000.0,1,0.9,6,Card Fraud,1
51,20000.0,2,1.7,7,Phishing,0
25,100000.0,1,0.72,10,Card Fraud,1
175,600000.0,3,1.79,8,Investment Scam,0
19,45000.0,1,1.51,7,Phishing,0
15,120000.0,3,2.9,13,Job Scam,1
96,1200000.0,4,1.54,9,Investment Scam,0
26,600000.0,4,0.51,5,Investment Scam,1
5,48000.0,1,0.52,4,UPI Fraud,1
57,15000.0,1,1.42,14,UPI Fraud,0
19,850000.0,2,1.23,8,Job Scam,1
12,8000.0,2,0.56,4,UPI Fraud,1
10,45000.0,1,3.41,8,Phishing,1
26,20000.0,2,5.16,14,Phishing,0
34,75000.0,1,1.34,9,Phishing,0
40,8000.0,2,4.31,15,UPI Fraud,0
75,1200000.0,2,3.49,5,Investment Scam,0
17,48000.0,2,1.72,6,UPI Fraud,0
24,50000.0,2,1.73,9,Card Fraud,0
6,48000.0,2,2.35,11,UPI Fraud,1
6,48000.0,1,1.49,8,UPI Fraud,1
45,1200000.0,3,4.34,7,Investment Scam,0
35,120000.0,2,0.45,9,UPI Fraud,1
14,50000.0,4,0.74,7,Job Scam,1
16,10000.0,1,1.55,13,Card Fraud,0
108,50000.0,3,0.27,10,Job Scam,1
19,850000.0,2,0.29,8,Job Scam,1
36,48000.0,2,0.41,11,UPI Fraud,0
110,1200000.0,4,0.2,6,Investment Scam,1
22,600000.0,4,0.26,6,Investment Scam,1
15,15000.0,2,1.95,5,UPI Fraud,0
25,48000.0,3,2.54,12,UPI Fraud,0
44,50000.0,2,2.13,12,Card Fraud,0
25,75000.0,2,3.8,18,Phishing,0
51,850000.0,2,2.27,7,Job Scam,0
29,75000.0,1,1.27,9,Phishing,0
29,48000.0,1,1.28,7,UPI Fraud,0
18,15000.0,2,1.91,6,UPI Fraud,0
171,300000.0,2,0.83,12,Investment Scam,0
21,40000.0,2,0.71,8,Card Fraud,0
30,850000.0,4,1.21,11,Job Scam,1
8,150000.0,2,5.32,7,Phishing,1
19,20000.0,2,0.86,6,Phishing,0
41,40000.0,2,0.62,6,Card Fraud,0
137,850000.0,3,3.56,10,Job Scam,0
29,100000.0,1,0.46,13,Card Fraud,1
60,500000.0,2,0.78,8,Job Scam,0
96,8000.0,2,0.79,10,UPI Fraud,0
17,15000.0,3,2.69,10,UPI Fraud,0
15,120000.0,1,0.58,7,UPI Fraud,1
3,40000.0,1,1.59,13,Card Fraud,1
11,150000.0,1,1.47,8,Phishing,1
14,120000.0,2,0.64,16,UPI Fraud,1
5,20000.0,1,0.42,8,Card Fraud,1
53,20000.0,3,1.04,5,Phishing,0
205,300000.0,5,0.36,10,Investment Scam,1
13,8000.0,2,1.09,5,UPI Fraud,1
20,120000.0,2,0.23,10,UPI Fraud,1
17,20000.0,1,0.36,6,Card Fraud,1
52,850000.0,4,0.49,15,Job Scam,1
9,75000.0,2,3.28,11,Phishing,1
18,48000.0,3,4.32,11,UPI Fraud,0
21,85000.0,2,0.4,12,UPI Fraud,1
15,20000.0,2,0.74,14,Card Fraud,1
22,50000.0,2,0.83,10,Card Fraud,1
52,250000.0,3,1.61,10,Job Scam,0
9,15000.0,2,0.61,6,UPI Fraud,1
51,300000.0,4,0.19,12,Investment Scam,1
24,1200000.0,3,0.36,3,Investment Scam,1
9,15000.0,2,1.1,10,UPI Fraud,1
23,100000.0,1,0.49,5,Card Fraud,1
79,45000.0,1,0.24,9,Phishing,0
14,850000.0,3,0.58,13,Job Scam,1
36,25000.0,2,0.79,8,UPI Fraud,0
48,75000.0,2,1.06,11,Phishing,0
49,120000.0,2,1.53,7,Job Scam,0
29,20000.0,2,1.26,9,Phishing,0
60,15000.0,1,2.71,11,UPI Fraud,0
52,300000.0,3,1.57,3,Investment Scam,0
22,40000.0,1,2.6,9,Card Fraud,0
6,85000.0,1,2.09,9,UPI Fraud,1
8,15000.0,1,0.75,7,UPI Fraud,1
20,150000.0,1,0.25,12,Phishing,1
5,50000.0,1,0.86,8,Card Fraud,1
15,25000.0,2,1.28,9,UPI Fraud,1
27,2000000.0,3,0.61,7,Investment Scam,1
5,15000.0,1,1.61,11,UPI Fraud,1
9,100000.0,2,0.72,13,Card Fraud,1
20,15000.0,1,1.49,8,UPI Fraud,0
41,85000.0,1,1.09,9,UPI Fraud,0
46,250000.0,4,0.55,11,Job Scam,1
12,250000.0,3,1.04,18,Job Scam,1
23,85000.0,2,1.38,13,UPI Fraud,1
4,25000.0,3,3.13,8,UPI Fraud,1
21,120000.0,2,1.58,15,UPI Fraud,1
27,85000.0,2,0.66,9,UPI Fraud,1
15,48000.0,2,1.8,8,UPI Fraud,0
51,50000.0,3,0.62,6,Job Scam,0
7,85000.0,3,0.75,7,UPI Fraud,1
74,300000.0,3,1.06,12,Investment Scam,0
81,150000.0,4,1.68,8,Investment Scam,0
17,85000.0,2,1.04,8,UPI Fraud,1
19,120000.0,1,3.38,11,UPI Fraud,0
14,20000.0,1,2.03,7,Card Fraud,0
3,100000.0,2,0.86,4,Card Fraud,1
30,1200000.0,4,2.27,4,Investment Scam,0
115,8000.0,2,0.37,16,UPI Fraud,0
27,15000.0,2,0.25,12,UPI Fraud,1
28,20000.0,1,1.82,8,Phishing,0
73,20000.0,2,1.89,9,Phishing,0
17,15000.0,3,2.18,12,UPI Fraud,1
7,85000.0,2,1.07,9,UPI Fraud,1
60,2000000.0,4,3.5,11,Investment Scam,0
8,25000.0,2,1.74,7,UPI Fraud,1
8,10000.0,1,0.43,6,Card Fraud,1
36,20000.0,1,1.3,8,Phishing,0
20,15000.0,2,1.52,15,UPI Fraud,0
24,85000.0,2,0.98,8,UPI Fraud,1
44,50000.0,1,2.88,7,Card Fraud,0
36,25000.0,2,0.5,10,UPI Fraud,0
25,25000.0,3,0.75,8,UPI Fraud,0
23,25000.0,2,1.87,8,UPI Fraud,0
20,15000.0,2,1.32,5,UPI Fraud,0
12,40000.0,1,0.89,6,Card Fraud,1
13,45000.0,2,0.77,5,Phishing,1
49,1200000.0,4,1.99,13,Investment Scam,0
9,45000.0,1,0.26,18,Phishing,1
36,15000.0,1,2.89,9,UPI Fraud,0
25,75000.0,2,0.65,14,Phishing,1
8,75000.0,1,2.21,8,Phishing,1
15,250000.0,2,0.69,11,Job Scam,1
74,75000.0,3,0.97,10,Phishing,0
6,20000.0,1,0.5,8,Card Fraud,1
25,1200000.0,2,2.08,9,Investment Scam,0
5,85000.0,3,2.07,7,UPI Fraud,1
22,120000.0,2,1.76,9,UPI Fraud,0
5,15000.0,1,0.49,6,UPI Fraud,1
5,50000.0,2,2.8,7,Card Fraud,1
4,48000.0,2,0.34,9,UPI Fraud,1
9,120000.0,1,1.51,10,UPI Fraud,1
21,15000.0,2,0.52,7,UPI Fraud,1
44,120000.0,4,0.91,13,Job Scam,1
77,120000.0,3,0.29,11,UPI Fraud,1
43,150000.0,4,1.49,8,Investment Scam,0
18,10000.0,1,1.44,9,Card Fraud,0
34,120000.0,3,0.29,11,Job Scam,1
130,600000.0,2,0.38,14,Investment Scam,0
72,20000.0,1,0.52,7,Phishing,0
70,2000000.0,4,1.29,12,Investment Scam,0
13,20000.0,1,0.92,10,Phishing,1
9,48000.0,3,0.17,11,UPI Fraud,1
29,15000.0,3,0.29,13,UPI Fraud,1
25,75000.0,1,0.83,7,Phishing,0
15,15000.0,2,0.21,13,UPI Fraud,1
19,150000.0,1,2.3,8,Phishing,0
23,15000.0,1,4.6,9,UPI Fraud,0
26,48000.0,1,0.99,14,UPI Fraud,0
40,1200000.0,2,3.38,11,Investment Scam,0
15,15000.0,2,0.69,7,UPI Fraud,1
35,45000.0,2,3.89,11,Phishing,0
18,150000.0,2,1.58,13,Phishing,1
41,75000.0,2,1.35,10,Phishing,0
8,85000.0,2,0.2,7,UPI Fraud,1
55,2000000.0,5,0.4,9,Investment Scam,1
103,1200000.0,3,5.23,6,Investment Scam,0
37,500000.0,4,0.78,8,Job Scam,1
50,600000.0,2,1.21,7,Investment Scam,0
15,50000.0,3,0.32,10,Job Scam,1
78,120000.0,3,0.21,15,UPI Fraud,1
64,40000.0,2,0.77,8,Card Fraud,0
51,2000000.0,4,2.12,9,Investment Scam,0
10,20000.0,1,0.86,10,Phishing,1
7,85000.0,3,0.37,7,UPI Fraud,1
18,150000.0,1,0.17,8,Phishing,1
33,120000.0,2,5.35,5,UPI Fraud,0
10,10000.0,1,0.96,9,Card Fraud,1
33,150000.0,2,0.96,13,Phishing,0
75,48000.0,2,0.61,8,UPI Fraud,0
67,1200000.0,3,5.93,5,Investment Scam,0
144,250000.0,2,0.77,4,Job Scam,0
17,8000.0,3,1.04,11,UPI Fraud,1
24,20000.0,1,1.27,14,Card Fraud,0
5,120000.0,2,4.12,9,UPI Fraud,1
20,20000.0,2,1.58,8,Phishing,0
40,1200000.0,2,1.27,8,Investment Scam,0
45,15000.0,2,1.24,11,UPI Fraud,0
16,40000.0,2,2.32,17,Card Fraud,1
132,75000.0,3,0.53,12,Phishing,0
10,45000.0,1,0.92,12,Phishing,1
8,40000.0,1,0.85,7,Card Fraud,1
65,1200000.0,4,2.92,9,Investment Scam,0
5,8000.0,2,2.37,10,UPI Fraud,1
15,100000.0,1,2.1,14,Card Fraud,1
16,15000.0,2,0.97,10,UPI Fraud,1
8,48000.0,2,1.0,10,UPI Fraud,1
104,1200000.0,3,0.16,7,Investment Scam,1
4,50000.0,1,0.29,9,Card Fraud,1
162,1200000.0,5,0.24,10,Investment Scam,1
43,40000.0,1,2.26,9,Card Fraud,0
41,150000.0,2,2.13,16,Phishing,0
134,150000.0,4,1.45,8,Investment Scam,0
32,850000.0,4,0.2,11,Job Scam,1
97,300000.0,3,1.55,8,Investment Scam,0
8,15000.0,3,1.02,5,UPI Fraud,1
188,150000.0,5,1.33,13,Investment Scam,0
30,48000.0,1,1.78,10,UPI Fraud,0
46,300000.0,3,1.33,8,Investment Scam,0
45,15000.0,2,1.61,15,UPI Fraud,0
29,500000.0,3,2.6,9,Job Scam,0
35,10000.0,2,1.99,7,Card Fraud,0
33,600000.0,2,0.26,9,Investment Scam,1
48,850000.0,2,1.49,12,Job Scam,0
7,85000.0,2,0.59,7,UPI Fraud,1
34,10000.0,1,1.53,11,Card Fraud,0
34,25000.0,1,0.19,3,UPI Fraud,1
21,25000.0,2,0.25,9,UPI Fraud,1
15,85000.0,1,1.3,16,UPI Fraud,1
13,40000.0,1,2.0,16,Card Fraud,1
